,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
133,Airplane!,(1980),88 min,7.7,78        ,"229,148",$83.40M
134,Moonrise Kingdom,(2012),94 min,7.8,84        ,"338,586",$45.51M
135,The Hateful Eight,(2015),168 min,7.8,68        ,"565,863",$54.12M
136,A Clockwork Orange,(1971),136 min,8.3,77        ,"798,563",$6.21M
137,Dazed and Confused,(1993),102 min,7.6,78        ,"177,031",$7.99M
138,The Goonies,(1985),114 min,7.8,62        ,"261,125",$61.50M
139,Logan,(2017),137 min,8.1,77        ,"708,717",$226.28M
140,Boogie Nights,(1997),155 min,7.9,85        ,"255,128",$26.40M
141,Coco,(I) (2017),105 min,8.4,81        ,"455,737",$209.73M
142,Jaws,(1975),124 min,8.0,87        ,"572,607",$260.00M
143,Fargo,(1996),98 min,8.1,85        ,"654,170",$24.61M
144,Catch Me If You Can,(2002),141 min,8.1,75        ,"914,305",$164.62M
145,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"964,506",$34.40M
146,The Blind Side,(2009),129 min,7.6,53        ,"316,138",$255.96M
147,La La Land,(2016),128 min,8.0,94        ,"552,567",$151.10M
148,Green Book,(2018),130 min,8.2,69        ,"445,742",$85.08M
149,Lawrence of Arabia,(1962),228 min,8.3,100        ,"284,081",$44.82M
150,Captain America: The Winter Soldier,(2014),136 min,7.7,70        ,"798,841",$259.77M
151,A Star Is Born,(2018),136 min,7.6,88        ,"365,481",$215.29M
152,Bohemian Rhapsody,(2018),134 min,7.9,49        ,"503,628",$216.43M
153,The Hangover,(2009),100 min,7.7,73        ,"755,198",$277.32M
154,Skyfall,(2012),143 min,7.8,81        ,"676,997",$304.36M
155,Sicario,(2015),121 min,7.6,82        ,"407,246",$46.89M
156,Spirited Away,(2001),125 min,8.6,96        ,"713,478",$10.06M
157,Soul,(2020),100 min,8.1,83        ,"295,175",-
158,Once Upon a Time in America,(1984),229 min,8.3,75        ,"336,708",$5.32M
159,Rogue One: A Star Wars Story,(2016),133 min,7.8,65        ,"593,244",$532.18M
160,Almost Famous,(2000),122 min,7.9,90        ,"268,789",$32.53M
161,The Hunt,(2012),115 min,8.3,77        ,"312,119",$0.69M
162,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        ,"478,976",$54.51M
163,Moneyball,(2011),133 min,7.6,87        ,"402,048",$75.61M
164,The Big Lebowski,(1998),117 min,8.1,71        ,"779,080",$17.50M
165,Into the Wild,(2007),148 min,8.1,73        ,"603,850",$18.35M
166,Arrival,(II) (2016),116 min,7.9,81        ,"656,520",$100.55M
167,Ex Machina,(2014),108 min,7.7,78        ,"514,723",$25.44M
168,Cast Away,(2000),143 min,7.8,73        ,"565,658",$233.63M
169,Oldboy,(2003),120 min,8.4,77        ,"552,211",$0.71M
170,Black Swan,(2010),108 min,8.0,79        ,"735,412",$106.95M
171,The Terminator,(1984),107 min,8.0,84        ,"829,990",$38.40M
172,Get Out,(I) (2017),104 min,7.7,85        ,"546,319",$176.04M
173,X-Men: First Class,(2011),131 min,7.7,65        ,"671,455",$146.41M
174,Aliens,(1986),137 min,8.3,84        ,"690,048",$85.16M
175,"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        ,"731,166",$6.10M
176,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,228,371",$290.48M
177,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        ,"969,287",$112.00M
178,Watchmen,(2009),162 min,7.6,56        ,"532,768",$107.51M
179,Some Like It Hot,(1959),121 min,8.2,98        ,"258,522",$25.00M
180,Drive,(I) (2011),100 min,7.8,78        ,"606,811",$35.06M
181,American History X,(1998),119 min,8.5,62        ,"1,082,482",$6.72M
182,City of God,(2002),130 min,8.6,79        ,"732,119",$7.56M
183,The Martian,(2015),144 min,8.0,80        ,"813,080",$228.43M
184,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,004,190",$309.13M
185,The Lion King,(1994),88 min,8.5,88        ,"1,004,399",$422.78M
186,The Fifth Element,(1997),126 min,7.7,52        ,"456,889",$63.54M
187,Warrior,(2011),140 min,8.1,71        ,"456,338",$13.66M
