,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
750,The Kid,(1921),68 min,8.3,-,"122,491",$5.45M
751,The Hustler,(1961),134 min,8.0,90        ,"80,223",$8.28M
752,City Lights,(1931),87 min,8.5,99        ,"178,970",$0.02M
753,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        ,"112,999",$9.60M
754,The Manchurian Candidate,(1962),126 min,7.9,94        ,"74,291",-
755,Anatomy of a Murder,(1959),161 min,8.0,95        ,"64,457",$11.90M
756,Cape Fear,(1962),106 min,7.7,76        ,"28,392",-
757,The White Ribbon,(2009),144 min,7.8,82        ,"72,058",$2.22M
758,Miracle on 34th Street,(1947),96 min,7.9,88        ,"46,983",$2.65M
759,Night on Earth,(1991),129 min,7.7,68        ,"58,893",$2.02M
760,The Treasure of the Sierra Madre,(1948),126 min,8.2,98        ,"121,524",$5.01M
761,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,"49,976",$3.98M
762,Stalag 17,(1953),120 min,8.0,84        ,"54,753",-
763,Raatchasan,(2018),170 min,8.4,-,"37,480",-
764,All Quiet on the Western Front,(1930),152 min,8.1,91        ,"60,122",$3.27M
765,The Wave,(2008),107 min,7.6,-,"106,974",-
766,The Cabinet of Dr. Caligari,(1920),67 min,8.1,-,"61,566",-
767,Wolf Children,(2012),117 min,8.1,71        ,"42,782",-
768,Wild Strawberries,(1957),91 min,8.2,88        ,"103,998",-
769,Waking Life,(2001),99 min,7.8,83        ,"63,065",$2.89M
770,Good Bye Lenin!,(2003),121 min,7.7,68        ,"143,372",$4.06M
771,The Motorcycle Diaries,(2004),126 min,7.8,75        ,"99,896",$16.76M
772,The Diving Bell and the Butterfly,(2007),112 min,8.0,92        ,"106,428",$5.99M
773,Nashville,(1975),160 min,7.7,96        ,"25,626",$14.82M
774,The Sea Inside,(I) (2004),126 min,8.0,74        ,"80,475",$2.09M
775,Bringing Up Baby,(1938),102 min,7.9,91        ,"59,933",-
776,The Man Who Would Be King,(1975),129 min,7.8,91        ,"47,849",-
777,Land of Mine,(2015),100 min,7.8,75        ,"39,559",$0.44M
778,3-Iron,(2004),88 min,8.0,72        ,"53,826",$0.24M
779,Peeping Tom,(1960),101 min,7.7,-,"34,157",$0.08M
780,Amarcord,(1973),123 min,7.9,-,"42,473",$0.58M
781,A Prophet,(2009),155 min,7.9,90        ,"97,194",$2.08M
782,The Legend of 1900,(1998),169 min,8.1,58        ,"62,444",$0.26M
783,The Sacrifice,(1986),149 min,8.0,-,"27,219",$0.30M
784,The Tale of The Princess Kaguya,(2013),137 min,8.0,89        ,"43,834",$1.51M
785,Zindagi Na Milegi Dobara,(2011),155 min,8.2,-,"74,353",$3.11M
786,Super 30,(2019),154 min,8.0,-,"28,342",$2.27M
787,"Aguirre, the Wrath of God",(1972),95 min,7.9,-,"55,650",-
788,Song of the Sea,(2014),93 min,8.1,85        ,"56,410",$0.86M
789,Adam's Apples,(2005),94 min,7.8,51        ,"49,278",$0.00M
790,Control,(2007),122 min,7.7,78        ,"64,175",$0.87M
791,Bajrangi Bhaijaan,(2015),163 min,8.0,-,"83,104",$8.18M
792,His Girl Friday,(1940),92 min,7.9,-,"57,085",$0.30M
793,Underground,(1995),167 min,8.1,79        ,"57,492",$0.17M
794,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"34,918",$3.03M
795,The Wages of Fear,(1953),131 min,8.1,85        ,"59,157",-
796,Laura,(1944),88 min,8.0,-,"45,957",$4.36M
797,Tokyo Story,(1953),136 min,8.2,-,"59,084",-
798,Out of the Past,(1947),97 min,8.0,-,"35,941",-
799,Three Colors: White,(1994),92 min,7.6,88        ,"70,964",$1.46M
800,When Marnie Was There,(2014),103 min,7.7,72        ,"37,803",$0.77M
801,A Man for All Seasons,(1966),120 min,7.7,72        ,"33,754",$28.35M
802,Scarface,(1932),93 min,7.7,87        ,"27,266",-
803,The Tenant,(1976),126 min,7.6,71        ,"42,796",$1.92M
804,Batman: Mask of the Phantasm,(1993),76 min,7.8,-,"47,564",$5.62M
805,Le Samouraï,(1967),101 min,8.1,-,"49,478",$0.04M
806,"I, Daniel Blake",(2016),100 min,7.9,78        ,"58,127",$0.26M
807,My Name Is Khan,(2010),165 min,8.0,50        ,"103,892",$4.02M
808,Kal Ho Naa Ho,(2003),186 min,7.9,54        ,"67,152",$1.79M
809,Autumn Sonata,(1978),99 min,8.2,-,"32,750",-
810,Lilya 4-Ever,(2002),109 min,7.8,82        ,"44,812",$0.18M
811,The 39 Steps,(1935),86 min,7.6,93        ,"55,433",-
812,Fitzcarraldo,(1982),158 min,8.1,-,"33,935",-
813,To Be or Not to Be,(1942),99 min,8.2,86        ,"34,993",-
814,Winter Sleep,(2014),196 min,8.1,88        ,"50,336",$0.17M
815,Drishyam,(2015),163 min,8.2,-,"78,235",$0.74M
816,The Lunchbox,(2013),104 min,7.8,76        ,"54,305",$4.23M
817,Article 15,(2019),130 min,8.2,-,"29,076",-
818,Pather Panchali,(1955),125 min,8.4,-,"30,166",$0.54M
819,A Very Long Engagement,(2004),133 min,7.6,76        ,"72,838",$6.17M
820,The Message,(1976),177 min,8.2,-,"46,305",-
821,Repulsion,(1965),105 min,7.7,91        ,"52,008",-
822,The Taking of Pelham One Two Three,(1974),104 min,7.7,68        ,"29,683",$2.49M
823,Elite Squad,(2007),115 min,8.0,33        ,"101,862",$0.01M
824,Dara of Jasenovac,(2020),130 min,8.7,-,"80,215",-
825,C.R.A.Z.Y.,(2005),129 min,7.9,81        ,"32,499",-
826,Harvey,(1950),104 min,7.9,-,"54,651",-
827,Inherit the Wind,(1960),128 min,8.1,75        ,"29,420",-
828,The Umbrellas of Cherbourg,(1964),91 min,7.8,86        ,"26,488",$0.03M
829,Chhichhore,(2019),143 min,8.3,-,"47,120",$0.90M
830,A Night at the Opera,(1935),96 min,7.9,-,"32,256",$2.54M
831,The Asphalt Jungle,(1950),112 min,7.9,-,"25,994",-
832,Wait Until Dark,(1967),108 min,7.8,81        ,"29,816",$17.55M
833,Nights of Cabiria,(1957),110 min,8.1,-,"47,321",$0.75M
834,96,(II) (2018),158 min,8.5,-,"27,283",-
835,The Vanishing,(1988),107 min,7.7,-,"37,574",-
836,Hard Boiled,(1992),128 min,7.8,-,"49,302",-
837,Dragon Ball Super: Broly,(2018),100 min,7.8,59        ,"25,458",$30.71M
838,Ivan's Childhood,(1962),95 min,8.1,-,"35,085",-
839,Darbareye Elly,(2009),119 min,8.0,87        ,"51,180",$0.11M
840,The Battle of Algiers,(1966),121 min,8.1,96        ,"58,005",$0.06M
841,Persepolis,(2007),96 min,8.0,90        ,"92,823",$4.45M
842,Dersu Uzala,(1975),142 min,8.3,-,"26,899",-
843,Arsenic and Old Lace,(1943),118 min,8.0,-,"69,456",-
844,In a Lonely Place,(1950),94 min,8.0,-,"30,143",-
845,Shine,(1996),105 min,7.7,87        ,"53,462",$35.81M
846,Jules and Jim,(1962),105 min,7.8,97        ,"40,265",-
847,To Have and Have Not,(1944),100 min,7.8,90        ,"33,603",-
848,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"48,168",-
849,Key Largo,(1948),100 min,7.8,-,"39,715",-
850,Lifeboat,(1944),97 min,7.6,78        ,"28,250",-
851,My Sassy Girl,(2001),137 min,8.0,-,"47,328",-
852,The Little Prince,(2015),108 min,7.7,70        ,"60,346",$1.34M
853,The General,(1926),67 min,8.1,-,"88,351",$1.03M
854,The Girl Who Leapt Through Time,(2006),98 min,7.7,-,"64,188",-
855,Interstate 60: Episodes of the Road,(2002),116 min,7.7,-,"31,782",-
856,Joyeux Noel,(2005),116 min,7.7,70        ,"29,414",$1.05M
857,The Shop Around the Corner,(1940),99 min,8.1,96        ,"31,891",$0.20M
858,Only Yesterday,(1991),118 min,7.6,90        ,"30,493",$0.45M
859,The Bandit,(1996),128 min,8.2,-,"68,845",-
860,Kagemusha,(1980),162 min,8.0,84        ,"34,771",-
861,The Conformist,(1970),113 min,8.0,100        ,"29,422",$0.54M
862,Taste of Cherry,(1997),95 min,7.8,80        ,"28,494",$0.31M
863,Badla,(2019),118 min,7.8,-,"26,385",$1.86M
864,Head-On,(2004),121 min,7.9,78        ,"53,358",-
865,The World's Fastest Indian,(2005),127 min,7.8,68        ,"53,878",$5.13M
866,The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"56,988",$27.28M
867,Cries & Whispers,(1972),91 min,8.1,-,"33,010",$1.74M
868,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        ,"110,693",$0.07M
869,Gully Boy,(2019),154 min,7.9,65        ,"36,841",$5.57M
870,The Experiment,(2001),120 min,7.7,60        ,"92,944",$0.14M
871,Frost/Nixon,(2008),122 min,7.7,80        ,"106,627",$18.59M
872,Loveless,(2017),127 min,7.6,86        ,"32,249",$0.57M
873,The Lady Vanishes,(1938),96 min,7.8,98        ,"51,020",-
874,Nobody Knows,(2004),141 min,8.1,88        ,"26,934",$0.68M
875,Sweet Smell of Success,(1957),96 min,8.0,100        ,"30,714",-
876,The Gold Rush,(1925),95 min,8.2,-,"108,105",$5.45M
877,Nostalghia,(1983),125 min,8.1,-,"26,006",$0.01M
878,The Chorus,(2004),97 min,7.9,56        ,"60,480",$3.64M
879,The Past,(2013),130 min,7.7,85        ,"47,904",$1.33M
880,Time of the Gypsies,(1988),142 min,8.1,-,"29,981",$0.28M
881,The Invisible Man,(1933),71 min,7.7,87        ,"33,805",-
882,Eyes Without a Face,(1960),90 min,7.7,90        ,"30,456",$0.05M
883,Farewell My Concubine,(1993),171 min,8.1,83        ,"27,429",$5.22M
884,Masaan,(2015),109 min,8.2,-,"26,824",-
885,Crimes and Misdemeanors,(1989),104 min,7.9,77        ,"57,054",$18.25M
886,Brief Encounter,(1945),86 min,8.0,92        ,"38,817",-
887,Diabolique,(1955),117 min,8.1,-,"64,652",$1.09M
888,The Bride of Frankenstein,(1935),75 min,7.8,95        ,"46,884",$4.36M
889,Swades,(2004),189 min,8.2,-,"88,160",$1.22M
890,The Secret of Kells,(2009),75 min,7.6,81        ,"34,465",$0.69M
891,The Postman,(1994),108 min,7.7,81        ,"35,667",$21.85M
892,Ninja Scroll,(1993),94 min,7.9,-,"36,474",-
893,M.S. Dhoni: The Untold Story,(2016),184 min,8.0,-,"50,575",$1.78M
894,Kahaani,(2012),122 min,8.1,-,"61,506",$1.04M
895,The Odd Couple,(1968),105 min,7.7,86        ,"34,095",$44.53M
896,Badhaai Ho,(2018),124 min,8.0,-,"32,238",-
897,The Caine Mutiny,(1954),124 min,7.7,63        ,"27,063",$21.75M
898,The Return,(2003),110 min,8.0,82        ,"44,756",$0.50M
899,The Exterminating Angel,(1962),95 min,8.1,-,"32,325",-
900,Ace in the Hole,(1951),111 min,8.1,72        ,"34,669",$3.97M
901,Au Revoir les Enfants,(1987),104 min,8.0,88        ,"33,080",$4.54M
902,The Passion of Joan of Arc,(1928),114 min,8.1,-,"52,501",$0.02M
903,G.O.R.A.,(2003),127 min,8.1,-,"60,798",-
904,After the Wedding,(2006),120 min,7.7,78        ,"34,013",$0.41M
905,La Strada,(1954),108 min,8.0,-,"61,685",-
906,Sleuth,(1972),138 min,8.0,-,"46,919",$4.08M
907,My Father and My Son,(2005),112 min,8.2,-,"84,397",-
908,Departures,(2008),130 min,8.1,68        ,"51,062",$1.50M
909,Down by Law,(1986),107 min,7.7,75        ,"50,534",$1.44M
910,Battleship Potemkin,(1925),66 min,8.0,97        ,"56,338",$0.05M
911,"Black Cat, White Cat",(1998),127 min,8.1,73        ,"52,908",$0.35M
912,Sunrise,(1927),94 min,8.1,-,"50,122",$0.54M
913,Vivre Sa Vie,(1962),85 min,8.0,-,"30,639",-
914,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"40,706",$0.18M
915,Once Upon a Time in Anatolia,(2011),157 min,7.9,82        ,"45,238",$0.14M
916,"4 Months, 3 Weeks and 2 Days",(2007),113 min,7.9,97        ,"59,106",$1.19M
917,Rififi,(1955),118 min,8.1,97        ,"33,202",$0.06M
918,The Lost Weekend,(1945),101 min,7.9,-,"35,898",$9.46M
919,Confessions,(2010),106 min,7.7,-,"38,030",-
920,The Hidden Fortress,(1958),126 min,8.1,89        ,"37,888",-
921,The Big Heat,(1953),89 min,7.9,-,"25,960",-
922,Dil Chahta Hai,(2001),183 min,8.1,-,"70,465",$0.30M
923,Rockstar,(2011),159 min,7.7,-,"42,886",$0.99M
924,Drishyam,(2013),160 min,8.3,-,"39,172",-
925,The Triplets of Belleville,(2003),80 min,7.8,91        ,"53,692",$7.00M
926,Celda 211,(2009),113 min,7.6,-,"66,456",-
927,Hiroshima Mon Amour,(1959),90 min,7.9,-,"30,800",$0.09M
928,Special 26,(2013),144 min,8.0,-,"54,682",$1.08M
929,The Virgin Spring,(1960),89 min,8.1,-,"28,477",$1.53M
930,Dreams,(1990),119 min,7.8,-,"25,718",$1.96M
931,In a Better World,(2010),118 min,7.6,65        ,"39,694",$1.01M
932,Jab We Met,(2007),138 min,7.9,-,"51,115",$0.41M
933,Bhaag Milkha Bhaag,(2013),186 min,8.2,-,"65,783",$1.63M
934,The Discreet Charm of the Bourgeoisie,(1972),102 min,7.9,93        ,"41,731",$0.20M
935,In America,(2002),105 min,7.7,76        ,"42,697",$15.54M
936,Lupin III: The Castle of Cagliostro,(1979),102 min,7.6,72        ,"29,670",-
937,Vampire Hunter D: Bloodlust,(2000),103 min,7.7,62        ,"31,043",$0.15M
938,The Killer,(1989),111 min,7.8,82        ,"47,557",-
939,Joint Security Area,(2000),110 min,7.8,58        ,"28,979",-
940,The Ladykillers,(1955),91 min,7.7,91        ,"28,650",-
941,Rang De Basanti,(2006),167 min,8.1,-,"117,359",$2.20M
942,Hera Pheri,(2000),156 min,8.2,-,"63,561",-
943,Queen,(2013),146 min,8.2,-,"64,352",$1.43M
944,Pink,(III) (2016),136 min,8.1,-,"43,406",$1.24M
945,Dilwale Dulhania Le Jayenge,(1995),181 min,8.1,-,"67,346",-
946,Raise the Red Lantern,(1991),125 min,8.1,-,"31,719",$2.60M
947,Sherlock Jr.,(1924),45 min,8.2,-,"47,267",$0.98M
948,No Man's Land,(I) (2001),98 min,7.9,84        ,"46,449",$1.06M
949,Veer Zaara,(2004),192 min,7.8,67        ,"51,620",$2.92M
950,Hindi Medium,(2017),132 min,7.9,-,"26,984",-
951,Talvar,(2015),132 min,8.2,-,"34,038",$0.34M
952,Paan Singh Tomar,(2012),135 min,8.2,-,"35,423",$0.04M
953,Duck Soup,(1933),69 min,7.8,93        ,"59,255",-
954,Fireworks,(1997),103 min,7.7,-,"29,807",$0.23M
955,Millennium Actress,(2001),87 min,7.9,70        ,"26,495",$0.19M
956,Barfi!,(2012),151 min,8.1,-,"79,789",$2.80M
957,Udaan,(2010),134 min,8.2,-,"44,335",$0.01M
958,Haider,(2014),160 min,8.1,-,"52,851",$0.90M
959,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"50,626",$10.63M
960,The Magdalene Sisters,(2002),114 min,7.7,83        ,"26,903",$4.89M
961,Tangerines,(2013),87 min,8.2,73        ,"45,020",$0.14M
962,Beauty and the Beast,(1946),93 min,7.9,92        ,"25,907",$0.30M
963,L'Avventura,(1960),144 min,7.8,-,"28,718",-
964,Black,(2005),122 min,8.2,-,"34,484",$0.73M
965,The Rules of the Game,(1939),110 min,8.0,-,"28,327",-
966,Kind Hearts and Coronets,(1949),106 min,8.0,-,"36,575",-
967,Nine Queens,(2000),114 min,7.9,80        ,"51,910",$1.22M
968,White Heat,(1949),114 min,8.1,-,"31,993",-
969,Andaz Apna Apna,(1994),160 min,8.1,-,"52,356",-
970,Raazi,(2018),138 min,7.8,-,"28,883",-
971,Le Dîner de Cons,(1998),80 min,7.7,73        ,"40,628",$4.07M
972,Chak De! India,(2007),153 min,8.2,68        ,"78,279",$1.11M
973,Tae Guk Gi: The Brotherhood of War,(2004),140 min,8.0,64        ,"39,200",$1.11M
974,Udta Punjab,(2016),148 min,7.8,-,"29,420",-
975,La Grande Illusion,(1937),113 min,8.1,-,"35,787",$0.17M
976,Sanjuro,(1962),96 min,8.1,-,"37,191",-
977,Love and Death,(1975),85 min,7.7,89        ,"37,860",-
978,Baby,(I) (2015),159 min,8.0,-,"56,287",-
979,Central Station,(1998),110 min,8.0,80        ,"38,753",$5.60M
980,Vicky Donor,(2012),126 min,7.8,-,"42,177",$0.17M
981,Dev.D,(2009),144 min,8.0,-,"30,125",$0.01M
982,"Rome, Open City",(1945),103 min,8.1,-,"25,613",-
983,A Wednesday,(2008),104 min,8.1,-,"77,125",-
984,Elite Squad 2: The Enemy Within,(2010),115 min,8.0,71        ,"81,852",$0.10M
985,Knockin' on Heaven's Door,(1997),87 min,7.9,-,"29,483",$0.00M
986,Munna Bhai M.B.B.S.,(2003),156 min,8.1,-,"79,084",-
987,Sullivan's Travels,(1941),90 min,7.9,-,"25,764",-
988,Kai Po Che,(2013),120 min,7.8,40        ,"35,946",$1.12M
989,Zelig,(1983),79 min,7.7,-,"41,526",$11.80M
990,Sholay,(1975),162 min,8.2,-,"54,369",-
991,The Edge of Heaven,(2007),122 min,7.8,85        ,"31,774",$0.74M
992,Airlift,(2016),130 min,8.0,-,"55,815",-
993,The Circus,(1928),72 min,8.1,90        ,"32,816",-
994,OMG: Oh My God!,(2012),125 min,8.1,-,"56,309",$0.92M
995,"Carry On, Munna Bhai",(2006),144 min,8.1,-,"45,832",$2.22M
996,Anand,(1971),122 min,8.2,-,"33,172",-
997,Vizontele,(2001),110 min,8.0,-,"35,784",-
998,English Vinglish,(2012),134 min,7.8,-,"35,463",$1.67M
999,The Breath,(2009),128 min,8.0,-,"33,144",-
